User ID,Vehicle Model,Battery Capacity (kWh),Charging Station ID,Charging Station Location,Charging Start Time,Charging End Time,Energy Consumed (kWh),Charging Duration (hours),Charging Rate (kW),Charging Cost (USD),Time of Day,Day of Week,State of Charge (Start %),State of Charge (End %),Distance Driven (since last charge) (km),Temperature (°C),Vehicle Age (years),Charger Type,User Type,soc_change,abs_temperature,norm_charging_rate,norm_temperature,norm_soc_change,charger_risk,battery_stress_score,battery_risk_level
User_1,BMW i3,108.46300741284072,Station_391,Houston,2024-01-01 00:00:00,2024-01-01 00:39:00,60.71234573492677,0.5913634253585007,36.3891805669814,13.087716791774506,Evening,Tuesday,29.371575979140047,86.11996244457839,293.6021106383279,27.947953055800944,2.0,DC Fast Charger,Commuter,56.748386465438344,27.947953055800944,0.36420922775829456,0.38192502037059567,0.8163927403224333,1.0,0.5553292838910685,Medium
User_2,Hyundai Kona,100.0,Station_428,San Francisco,2024-01-01 01:00:00,2024-01-01 03:01:00,12.339275203733752,3.133652052688084,30.67773493971444,21.12844792913739,Morning,Monday,10.115777641679946,84.66434362786444,112.11280368218186,14.311025660377789,3.0,Level 1,Casual Driver,74.5485659861845,14.311025660377789,0.30463414516181814,0.19553981697716954,0.9193762696865216,0.3,0.3941591498370915,Medium
User_3,Chevy Bolt,75.0,Station_181,San Francisco,2024-01-01 02:00:00,2024-01-01 04:48:00,19.12887570011548,2.4526527258367823,27.51359255877324,35.66727042356739,Morning,Thursday,6.854604444398554,69.91761524016282,71.79925292594801,21.00200183614421,2.0,Level 2,Commuter,63.063010795764264,21.00200183614421,0.2716295337213015,0.28698995961262463,0.8529262089533186,0.6,0.44175256647690664,Medium
User_4,Hyundai Kona,50.0,Station_327,Houston,2024-01-01 03:00:00,2024-01-01 06:42:00,79.45782398845503,1.266430804620451,32.882869757386224,13.036238833914622,Evening,Saturday,83.12000296074223,99.62432763119423,199.5777845163286,38.31631316036344,1.0,Level 1,Long-Distance Traveler,16.504324670452007,38.31631316036344,0.3276355177516201,0.5236364815311029,0.5835593852001568,0.3,0.43347525271242926,Medium
User_5,Hyundai Kona,50.0,Station_108,Los Angeles,2024-01-01 04:00:00,2024-01-01 05:46:00,19.62910416772725,2.0197650865894614,10.215712071204608,10.161471171031415,Morning,Saturday,54.25894969116981,63.743786036169695,203.66184655799864,-7.834199027249213,1.0,Level 1,Long-Distance Traveler,9.484836344999884,7.834199027249213,0.09119839140751128,0.10701660244683583,0.5429479025326623,0.3,0.21761399823321215,Low
User_6,Nissan Leaf,50.0,Station_335,San Francisco,2024-01-01 05:00:00,2024-01-01 07:10:00,43.18113714248533,1.1676401541014236,14.33452277611833,36.90034077796173,Evening,Saturday,75.21774833696946,71.98228757123687,143.68004610728445,-5.274217796522686,0.0,DC Fast Charger,Long-Distance Traveler,-3.235460765732597,5.274217796522686,0.13416097985850295,0.07202759000020097,0.46935420144126255,1.0,0.3124354602387889,Low
User_7,Chevy Bolt,85.0,Station_162,Houston,2024-01-01 06:00:00,2024-01-01 07:53:00,36.862139988267536,3.5396190263161467,26.18518786003352,22.21422517569784,Evening,Friday,60.75178075976676,70.79609690147149,81.33800890802773,27.5513346806664,4.0,Level 2,Commuter,10.044316141704726,27.5513346806664,0.2577731784631606,0.3765041660699537,0.5461847914643393,0.6,0.40240882057596017,Medium
User_8,Chevy Bolt,75.0,Station_302,Los Angeles,2024-01-01 07:00:00,2024-01-01 10:42:00,51.46761685839947,2.6553964456130235,26.7029077655282,9.796821321322032,Afternoon,Monday,56.201703032995454,63.786815331776616,116.54316578116932,-4.41745966595273,0.0,Level 2,Long-Distance Traveler,7.585112298781162,4.41745966595273,0.26317342354024537,0.060317691296857635,0.5319569860158142,0.6,0.306597402831306,Low
User_9,Chevy Bolt,62.0,Station_493,Los Angeles,2024-01-01 08:00:00,2024-01-01 09:21:00,43.59237228216989,1.724203599132774,14.294922926661108,32.465005072088225,Evening,Wednesday,33.46620026326066,92.96142090358896,208.25974249443672,22.51670642679634,4.0,Level 1,Commuter,59.4952206403283,22.51670642679634,0.1337479208089763,0.30769246209162193,0.8322846406023358,0.3,0.3505764390310954,Medium
User_10,Hyundai Kona,50.0,Station_452,Chicago,2024-01-01 09:00:00,2024-01-01 12:44:00,78.86860745126785,2.0268746909843576,11.76099971515701,21.312302451155745,Morning,Wednesday,27.399454625609152,70.05338137780706,54.00630919992556,27.512019364625917,2.830381306943589,DC Fast Charger,Commuter,42.653926752197904,27.512019364625917,0.10731701443777755,0.3759668167856023,0.7348487758889435,1.0,0.44732075526669157,Medium
User_11,BMW i3,50.0,Station_206,Los Angeles,2024-01-01 10:00:00,2024-01-01 13:59:00,18.20619747737872,2.6486354477276968,10.310701112892176,38.221230704051806,Night,Thursday,76.08656557040186,82.2655816267944,64.63464374887128,0.5004335643954789,3.0,DC Fast Charger,Casual Driver,6.179016056392541,0.5004335643954789,0.09218920535788498,0.006781019474351913,0.5238219695403908,1.0,0.28906492162564346,Low
User_12,Chevy Bolt,85.0,Station_78,San Francisco,2024-01-01 11:00:00,2024-01-01 14:55:00,22.564929484106763,2.0578886215204486,4.46482262892762,14.0508613520737,Evening,Sunday,14.618902372078484,85.85749415419053,194.76380668173772,34.26261127319235,0.0,DC Fast Charger,Long-Distance Traveler,71.23859178211205,34.26261127319235,0.03121187732932307,0.46823176837040376,0.9002263040784679,1.0,0.4814389483920778,Medium
User_13,Hyundai Kona,100.0,Station_16,San Francisco,2024-01-01 12:00:00,2024-01-01 13:00:00,34.256452908516025,3.0655847520228034,5.523688619042968,10.972135997218215,Afternoon,Monday,19.20544694977322,51.62648272929986,249.12759651542487,23.662965362338845,0.0,Level 2,Casual Driver,32.42103577952664,23.662965362338845,0.04225672182868455,0.3233591660820183,0.6756460455605567,0.6,0.3369268115767564,Medium
User_14,Nissan Leaf,75.0,Station_327,Houston,2024-01-01 13:00:00,2024-01-01 15:54:00,16.56106432522506,3.5909657181461028,19.76909871755716,37.44185660286842,Morning,Friday,25.775415389763285,69.2012290988145,159.2316102189639,34.11034863859677,7.0,Level 2,Commuter,43.42581370905121,34.11034863859677,0.19084808356519978,0.4661506909183202,0.7393145534949621,0.6,0.4445049472223084,Medium
User_15,BMW i3,85.0,Station_96,Houston,2024-01-01 14:00:00,2024-01-01 17:32:00,12.927545290947553,3.4218093378407497,24.21115011711917,18.552815677456245,Afternoon,Monday,71.68354383511853,63.70663794066834,155.36060543681995,39.50544568765913,4.0,Level 1,Casual Driver,-7.976905894450191,39.50544568765913,0.23718233872527805,0.5398891681910122,0.4419224132914634,0.3,0.3783650516694436,Medium
User_16,Nissan Leaf,100.0,Station_147,Los Angeles,2024-01-01 15:00:00,2024-01-01 17:19:00,27.354317884610715,2.703286127534274,11.112498841670842,33.093492711055774,Evening,Monday,10.677153729384765,72.40347015226732,247.6594369214761,-8.30213689912669,1.5352340877952697,DC Fast Charger,Long-Distance Traveler,61.726316422882554,8.30213689912669,0.10055261613599192,0.11341222903458481,0.8451927192972152,1.0,0.38825562821741566,Medium
User_17,BMW i3,97.681812229825,Station_2,New York,2024-01-01 16:00:00,2024-01-01 18:02:00,24.726937680708804,3.4586802787724484,49.40273861566977,17.49480846107398,Evening,Thursday,67.59197091077596,89.94222936485875,237.3064209427689,4.41532961880046,7.0,DC Fast Charger,Commuter,22.35025845408279,4.41532961880046,0.49995135789840744,0.060288578487190055,0.6173812291183816,1.0,0.4665457946342759,Medium
User_18,Hyundai Kona,50.0,Station_10,Chicago,2024-01-01 17:00:00,2024-01-01 20:13:00,23.824040473705303,0.8482182678183041,6.614280124746195,6.430589211997161,Evening,Friday,57.59519511951953,74.96195034708379,22.00682916343814,18.40570905025936,6.0,Level 2,Casual Driver,17.366755227564255,18.40570905025936,0.053632489588969746,0.25150465233376923,0.5885490058104064,0.6,0.30193256821835146,Low
User_19,Tesla Model 3,100.0,Station_434,New York,2024-01-01 18:00:00,2024-01-01 21:03:00,42.63801819167288,0.8075321582617996,20.49084604597367,25.0787937101842,Evening,Saturday,55.51705087402344,52.7134886858277,280.8620709755801,37.430356532255,0.0,Level 1,Long-Distance Traveler,-2.803562188195741,37.430356532255,0.19837650272740323,0.5115275070136344,0.4718529649953174,0.3,0.3622606210577449,Medium
User_21,Nissan Leaf,50.0,Station_81,Los Angeles,2024-01-01 20:00:00,2024-01-01 22:54:00,50.27906667357191,3.16887289218907,30.489960233968677,28.872894608008124,Night,Tuesday,16.545512365179043,77.93632713949575,15.420444595980063,33.980310103059054,3.0,Level 2,Casual Driver,61.3908147743167,33.980310103059054,0.3026755003047391,0.4643733654114531,0.8432516633749131,0.6,0.5038987674050772,Medium
User_22,Hyundai Kona,62.0,Station_485,New York,2024-01-01 21:00:00,2024-01-01 22:55:00,59.1350316162392,2.9317614950957465,25.603799331857445,34.85323440188442,Evening,Sunday,71.5303121297424,75.97435158703122,219.6263569214341,-2.755069331695,5.0,Level 1,Commuter,4.444039457288824,2.755069331695,0.25170881720558747,0.03759666686184574,0.5137842048464135,0.3,0.24713392704979203,Low
User_23,BMW i3,75.0,Station_140,Chicago,2024-01-01 22:00:00,2024-01-02 01:02:00,49.19642958971384,2.5628173042684104,19.194882837079632,14.856131218606723,Afternoon,Saturday,49.02423910950519,64.48187393759193,298.18812231836336,39.95893731677202,4.257936702758294,DC Fast Charger,Long-Distance Traveler,15.45763482808674,39.95893731677202,0.1848585389314663,0.5460873481092972,0.5775037263799362,1.0,0.49402743833478957,Medium
User_24,Tesla Model 3,100.0,Station_326,New York,2024-01-01 23:00:00,2024-01-01 23:31:00,68.44712632026376,2.0714292092234388,49.71030696901287,38.40606169605943,Morning,Friday,19.23313912730544,74.00615088095063,280.91546822652094,3.580839953900103,5.0,DC Fast Charger,Commuter,54.77301175364519,3.580839953900103,0.5031595491778621,0.04888303811785683,0.8049641443692337,1.0,0.5017635825214556,Medium
User_25,Tesla Model 3,100.0,Station_150,Houston,2024-01-02 00:00:00,2024-01-02 01:55:00,27.60438468247694,0.9571376601264636,11.238538626794044,24.03753468851581,Morning,Wednesday,65.48688658113335,65.35209627449626,173.47152650529225,35.977821918048456,4.0,Level 1,Long-Distance Traveler,-0.13479030663708613,35.977821918048456,0.10186731491790961,0.4916747240769341,0.4872932332864447,0.3,0.3256146241016375,Low
User_26,Chevy Bolt,75.0,Station_288,San Francisco,2024-01-02 01:00:00,2024-01-02 03:42:00,40.178003499947216,3.604173535372616,12.31861479590845,38.76319382514176,Morning,Saturday,80.34408372714871,79.99556313119572,82.75461394014503,21.53684396835515,1.0,DC Fast Charger,Commuter,-0.3485205959529907,21.53684396835515,0.11313339905574762,0.2943000124350051,0.48605668960439324,1.0,0.3750980313208918,Medium
User_27,Chevy Bolt,75.0,Station_361,Houston,2024-01-02 02:00:00,2024-01-02 02:33:00,43.487751224792326,3.652540335433942,36.18237188372349,27.44831088430594,Afternoon,Thursday,88.74847907153811,87.82402899882813,80.91266512306521,29.872209873061493,0.3612151658030595,Level 1,Commuter,-0.9244500727099876,29.872209873061493,0.3620520428368556,0.4082251529346706,0.48272463050284764,0.3,0.39073068697387014,Medium
